,stock,cluster
0,KR,2
1,AZO,2
2,COST,2
3,GS,4
4,BBY,1
5,CAG,8
6,DRI,0
7,GIS,8
8,GPN,1
9,KMX,12
10,CCL,19
11,CTAS,12
12,FDX,1
13,LEN,16
14,MKC,1
15,MS,4
16,NKE,11
17,ORCL,12
18,PAYX,11
19,STZ,15
20,WBA,13
21,MU,1
22,ADBE,16
23,PEP,12
24,YUM,16
25,HST,6
26,MAR,14
27,CMI,18
28,HOLX,11
29,HSIC,1
30,LRCX,8
31,PNR,16
32,QCOM,5
33,TAP,19
34,TFX,8
35,ABC,16
36,ABMD,10
37,ABT,0
38,ADM,15
39,ADP,2
40,AEE,16
41,AEP,16
42,AES,12
43,AFL,16
44,AIG,15
45,AJG,7
46,AKAM,5
47,ALB,9
48,ALGN,11
49,ALK,8
50,ALL,1
51,AME,8
52,AMGN,17
53,AMT,10
54,AMZN,12
55,ANSS,4
56,AON,2
57,AOS,12
58,APA,15
59,APD,12
60,APH,12
61,ARE,4
62,ATO,16
63,ATVI,5
64,AVB,12
65,AXP,12
66,BA,7
67,BAC,7
68,BAX,5
69,BDX,1
70,BEN,19
71,BIIB,5
72,BIO,2
73,BK,9
74,BKNG,1
75,BLK,2
76,BMY,6
77,BRO,2
78,BSX,11
79,BWA,15
80,BXP,12
81,C,18
82,CAH,1
83,CAT,12
84,CB,4
85,CCI,1
86,CHD,8
87,CHRW,12
88,CI,18
89,CINF,15
90,CL,18
91,CLX,17
92,CMA,7
93,CMCSA,5
94,CMS,5
95,CNP,15
96,COF,1
97,COP,12
98,CSX,12
99,CTRA,19
100,CTSH,4
101,CTXS,1
102,CVX,15
103,D,1
104,DD,8
105,DGX,14
106,DHI,16
107,DHR,10
108,DIS,0
109,DISH,8
110,DLTR,12
111,DOV,2
112,DRE,11
113,DTE,4
114,DUK,2
115,DVA,16
116,DVN,12
117,EA,0
118,EBAY,11
119,ECL,9
120,ED,15
121,EFX,0
122,EIX,12
123,EL,11
124,EMN,13
125,EMR,16
126,EOG,12
127,EQIX,4
128,EQR,11
129,ES,16
130,ESS,12
131,ETN,14
132,ETR,15
133,EW,4
134,EXC,2
135,EXPD,3
136,F,5
137,FAST,12
138,FCX,15
139,FE,16
140,FFIV,12
141,FIS,19
142,FISV,1
143,FITB,15
144,FMC,8
145,FRT,19
146,GE,15
147,GILD,4
148,GL,15
149,GLW,1
150,GPC,12
151,GWW,5
152,HAL,12
153,HBAN,15
154,HES,12
155,HIG,8
156,HON,16
157,HWM,8
158,IBM,1
159,IDXX,10
160,IEX,0
161,IFF,4
162,ILMN,5
163,INCY,8
164,IP,1
165,IPG,1
166,IRM,13
167,ISRG,4
168,IT,9
169,ITW,15
170,J,15
171,JBHT,2
172,JCI,0
173,JKHY,11
174,JNPR,1
175,JPM,15
176,K,1
177,KEY,15
178,KIM,15
179,KLAC,11
180,KMB,4
181,KO,16
182,KSU,15
183,L,6
184,LEG,7
185,LH,16
186,LHX,11
187,LLY,14
188,LMT,6
189,LNC,15
190,LNT,16
191,LUMN,15
192,LUV,19
193,MAA,9
194,MAS,8
195,MCD,14
196,MCHP,1
197,MCK,1
198,MCO,11
199,MDLZ,17
200,MET,14
201,MGM,15
202,MLM,4
203,MMC,2
204,MMM,12
205,MNST,1
206,MO,1
207,MOS,15
208,MRK,12
209,MRO,12
210,MSFT,2
211,MTB,15
212,MTCH,12
213,MTD,10
214,NDAQ,2
215,NEE,2
216,NEM,8
217,NI,1
218,NLOK,1
219,NOC,7
220,NSC,5
221,NTRS,13
222,NVR,16
223,NWL,1
224,O,9
225,ODFL,10
226,OKE,12
227,OMC,7
228,ORLY,0
229,OXY,12
230,PCAR,18
231,PEAK,16
232,PEG,9
233,PENN,15
234,PG,11
235,PGR,5
236,PH,12
237,PHM,12
238,PKG,10
239,PLD,9
240,PNC,15
241,PNW,5
242,POOL,14
243,PPG,5
244,PPL,16
245,PSA,2
246,PWR,0
247,PXD,7
248,RE,14
249,REG,0
250,REGN,10
251,RHI,4
252,RJF,7
253,RMD,2
254,ROK,0
255,ROL,4
256,RSG,0
257,RTX,19
258,SBAC,2
259,SCHW,9
260,SEE,4
261,SHW,11
262,SIVB,12
263,SLB,7
264,SO,13
265,SPG,0
266,SPGI,2
267,SRE,1
268,STT,15
269,SYK,0
270,T,6
271,TECH,2
272,TFC,15
273,TRMB,2
274,TROW,0
275,TRV,15
276,TT,16
277,TXN,1
278,TYL,12
279,UDR,12
280,UHS,8
281,UNH,0
282,UNP,12
283,UPS,12
284,URI,15
285,USB,15
286,VIAC,1
287,VLO,7
288,VNO,8
289,VRSN,11
290,VRTX,12
291,VTR,6
292,VTRS,15
293,VZ,5
294,WAB,0
295,WAT,2
296,WDC,18
297,WEC,0
298,WELL,11
299,WFC,15
300,WHR,1
301,WM,2
302,WMB,15
303,WRB,14
304,WST,2
305,XEL,16
306,XLNX,2
307,XOM,15
308,XRAY,18
309,ZION,15
310,AAPL,12
311,AMD,2
312,AVY,15
313,BLL,1
314,CDNS,2
315,CERN,11
316,CVS,15
317,GD,15
318,HAS,11
319,HSY,12
320,INTC,1
321,MHK,12
322,MSI,2
323,NUE,1
324,PFE,2
325,PKI,14
326,PTC,5
327,RL,12
328,SBUX,16
329,SNA,19
330,SWK,6
331,SWKS,16
332,SYY,5
333,TDY,16
334,TER,5
335,TMO,2
336,TSCO,4
337,TSN,0
338,TXT,15
339,VFC,12
340,ZBRA,11
341,LOW,12
342,A,10
343,ADI,0
344,ADSK,16
345,AMAT,4
346,BBWI,4
347,COO,2
348,CPB,1
349,CPRT,12
350,CSCO,11
351,DE,16
352,GPS,18
353,HD,12
354,HPQ,12
355,HRL,13
356,INTU,0
357,MDT,14
358,NTAP,1
359,NVDA,4
360,PVH,15
361,ROP,2
362,ROST,1
363,SJM,12
364,SNPS,2
365,TGT,9
366,TJX,4
367,TTWO,17
368,WMT,10
369,AAP,12
370,CRL,10
371,WY,7
372,HUM,17
373,ZBH,1
374,JNJ,10
375,ACN,2
376,TPR,8
377,GRMN,2
378,RCL,15
379,VMC,12
380,CBRE,7
381,WLTW,19
382,STX,15
383,PFG,19
384,ANTM,12
385,CNC,17
386,PRU,15
387,AIZ,4
388,CE,15
389,CME,8
390,EXR,2
391,GOOGL,10
392,LKQ,12
393,LVS,5
394,MA,12
395,MPWR,2
396,NFLX,0
397,RF,15
398,WYNN,6
399,CRM,11
400,AMP,2
401,CF,8
402,CMG,2
403,DISCA,17
404,DXCM,2
405,EXPE,15
406,ICE,12
407,LYV,19
408,MKTX,5
409,TMUS,5
410,UAA,1
411,DLR,6
412,TDG,15
413,IPGP,5
414,NRG,2
415,PBCT,8
416,UAL,18
417,WU,5
418,BR,14
419,DPZ,4
420,TEL,16
421,DFS,1
422,MSCI,2
423,IVZ,18
424,PM,16
425,LDOS,12
426,V,19
427,HBI,16
428,AVGO,10
429,DAL,6
430,ULTA,1
431,DG,16
432,AWK,2
433,CBOE,12
434,GNRC,12
435,HII,8
436,LYB,15
437,MPC,15
438,NLSN,5
439,NXPI,16
440,TSLA,9
441,VRSK,2
442,CDW,10
443,FBHS,15
444,FLT,15
445,HCA,11
446,KMI,19
447,PSX,7
448,XYL,0
449,CHTR,2
450,NOW,10
451,FTNT,9
452,GM,7
453,ABBV,7
454,ENPH,11
455,FB,4
456,NCLH,5
457,ZTS,2
458,NWSA,17
459,APTV,2
460,ALLE,1
461,FANG,12
462,HLT,14
463,IQV,0
464,TWTR,11
465,ANET,9
466,CTLT,14
467,KEYS,9
468,AAL,17
469,STE,12
470,HPE,13
471,CFG,7
472,CZR,15
473,ETSY,12
474,FTV,16
475,INFO,14
476,PAYC,2
477,PYPL,10
478,SYF,1
479,QRVO,18
480,LW,5
481,WRK,1
482,DXC,18
483,BKR,7
484,IR,2
485,KHC,5
486,CDAY,2
487,DOW,15
488,AMCR,1
489,FOXA,19
490,EVRG,9
491,LIN,0
492,MRNA,14
493,CARR,4
494,CTVA,15
495,OGN,15
496,OTIS,16
